2025/08/07 22:09:25 main.go:42: 🚀 Server läuft auf Port 8080
2025/08/07 22:09:25 main.go:43: http://localhost:8080
2025/08/07 22:17:24 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:17:24 CEST | Methode: GET | URL: /.well-known/appspecific/com.chrome.devtools.json | RemoteAddr: [::1]:57608
2025/08/07 22:17:24 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:17:24 CEST | Dauer: 141.013µs | Statuscode: 404 | Antwortgröße: 19 Bytes
2025/08/07 22:18:44 main.go:42: 🚀 Server läuft auf Port 8080
2025/08/07 22:18:44 main.go:43: http://localhost:8080
2025/08/07 22:18:48 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:18:48 CEST | Methode: GET | URL: / | RemoteAddr: [::1]:35608
2025/08/07 22:18:48 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:18:48 CEST | Dauer: 1.34788ms | Statuscode: 200 | Antwortgröße: 3757 Bytes
2025/08/07 22:18:48 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:18:48 CEST | Methode: GET | URL: /assets/banner.png | RemoteAddr: [::1]:35620
2025/08/07 22:18:48 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:18:48 CEST | Methode: GET | URL: /assets/style/style.css | RemoteAddr: [::1]:35608
2025/08/07 22:18:48 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:18:48 CEST | Methode: GET | URL: /assets/js/script.js | RemoteAddr: [::1]:35632
2025/08/07 22:18:48 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:18:48 CEST | Dauer: 282.796µs | Statuscode: 200 | Antwortgröße: 1162 Bytes
2025/08/07 22:18:48 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:18:48 CEST | Dauer: 264.896µs | Statuscode: 200 | Antwortgröße: 1446 Bytes
2025/08/07 22:18:48 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:18:48 CEST | Dauer: 2.746099ms | Statuscode: 200 | Antwortgröße: 3268666 Bytes
2025/08/07 22:18:48 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:18:48 CEST | Methode: GET | URL: /assets/js/utils.js | RemoteAddr: [::1]:35620
2025/08/07 22:18:48 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:18:48 CEST | Dauer: 76.816µs | Statuscode: 200 | Antwortgröße: 1736 Bytes
2025/08/07 22:18:48 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:18:48 CEST | Methode: GET | URL: /assets/js/calculator.js | RemoteAddr: [::1]:35608
